S,R,O
house keeper,is a,servant
right ear,part of,person
mansion,has property,rich person house
depress person,capable of,kill themselves
leave ear,part of,person
leave hand,part of,person
pizza parlor,is a,restaurant
right hand,part of,person
butler,used for,answer door
whore,desires,get pay
abstract,is a,summary
have sex with same gender,used for,be gay
urge,is a,desire
move slowly,used for,delay
political ideology,is a,system of abstract think
system of abstract think,used for,find truth
ideal,is a,abstraction
move slowly,is a,action
eat person,causes,you cannibal
bisexuality,is a,sexual orientation
monitor,is a,tv
move slowly,is a,activity
genocide,defined as,death of specific group
move slowly,capable of,annoy person
move slowly,used for,annoy someone
urge,causes desire,be compulsive
screen,part of,monitor
be full,is a,feel
system of abstract think,used for,understand
urge,used for,accomplish goal
urge,defined as,strong desire of something
be full,used for,not eat anymore
you,capable of,suck dick
system of abstract think,made of,ideal
system of abstract think,made of,abstraction
system of abstract think,created by,person
monitor,capable of,display image
nazism,is a,political ideology
equality for everyone,capable of,stop oppression
drug dealer,desires,make money
person,receives action,asshole
education,capable of,change your subjective consciousness
community,capable of,be break
john safran,desires,warp your mind
swallow semen,is a,fetish
subjective change in consciousness,defined as,experience change in self awareness
sexually transmit disease,is a,transmit disease
john safran,made of,cell
be socialist,motivated by goal,equality for everyone
fuck,motivated by goal,money
crash,motivated by goal,die
equality for everyone,has property,good
woman,capable of,be reactionary
swallow semen,is a,sexual activity
anime,is a,cartoon
psychoactive drug,causes,subjective change in consciousness
news,part of,media
wife,capable of,swallow semen
commit genocide,has last subevent,celebrate when specific group be dead
open someone skull,motivated by goal,remove tumor
experience change in self awareness,has prequisite,meditation
political ideology,used for,person
animate flesh of dead person,capable of,do what person do
community,made of,political ideology
whorehouse,made of,room
caterpillar turn into cocoon,causes,butterfly
zombie,made of,cell
experience change in self awareness,has prequisite,drug
utopia,defined as,good place
revolution,created by,upset person
swallow semen,has subevent,perform oral sex
disturb think process,defined as,wrong way to think
government,made of,political ideology
zit,is a,pimple
killer,part of,community
person,capable of,wank off
practice law,has prequisite,go to law school
conservatism,is a,political ideology
dung,has property,term for shit
anime,defined as,abbreviation of english word animation originate in japan through root of manga
drug dealer,receives action,paranoid
porn,made of,naked person
deal drug,has last subevent,exchange drug for money
kill,motivated by goal,equality for everyone
meditation,capable of,change your subjective consciousness
sexually transmit disease,is a,germ
kendo,defined as,way of sword
be democrat,motivated by goal,equality for everyone
lie,motivated by goal,anything
evil man,desires,commit genocide
war,used for,commit genocide
clone,created by,lab
practice,motivated by goal,get good
john safran,desires,make you think he funny
provocateur,used for,upset person
lie,motivated by goal,candy
lover,desires,be love
mead,made of,ferment honey water
slut,desires,have alot of sex
mead,is a,alcoholic beverage
religious experience,causes,subjective change in consciousness
pimple,at location,your ass
socialism,is a,ideology
john safran,at location,triple j radio
prohibitionist society,capable of,restrict freedom
love,capable of,destroy you
anarchism,causes desire,rebel
john safran,defined as,australian documentarian and media personality well know for prank and indelicate handle of controversial issue
communist,defined as,follower of communism
provocateur,desires,provoke
take shit,has last subevent,flush
ideology,used for,how to live your life
have penis,has last subevent,punch it
revolt,motivated by goal,new government
government,receives action,corrupt
be male and have penis in your ass,causes,you have homosexual intercourse
commit genocide,has property,bad
clay,receives action,mold
conservatism,is a,political philosophy
midget,capable of,steal
use marijuana,motivated by goal,subjective change in consciousness
universe,made of,string
upset person,at location,iraq
zit,at location,ass
find love,has prequisite,love yourself
asshole,at location,washington d.c
utopia,made of,community
drug dealer,created by,prohibitionist society
commit genocide,used for,survival
facism,is a,political ideology
whore,part of,whorehouse
whore,capable of,swallow semen
deal drug,motivated by goal,survive
john safran,part of,entertainment world
equality for everyone,capable of,be misinterpret
house,made of,room
lie,motivated by goal,play
vagina,at location,skirt
vibrator,is a,toy
swallow semen,causes,have you lover inside of you
swallow semen,motivated by goal,be pornstar
smoke cannabis,causes,subjective change in consciousness
education,capable of,raise intelligence
prohibitionist society,created by,conservative
subjective consciousness,defined as,awareness of self
make love,has first subevent,turn off light
kill john safran,motivated by goal,be famous
equality for everyone,causes desire,celebrate
mouth,receives action,fuck
swallow semen,motivated by goal,want to please you partner
human,part of,ecology
vagina,receives action,fuck
fanatic,defined as,follower of ideology
socialism,made of,socialist
meditation,causes,subjective change in consciousness
have penis,causes desire,use it
kill specific group,motivated by goal,commit genocide
cherub,at location,heaven
anime,used for,entertainment
fanatic,is a,person
cannabis,at location,garden
john safran,is a,provocateur
have condomless sex,has last subevent,pull out
mead,used for,get drunk
commit genocide,motivated by goal,vengence
upset person,motivated by goal,revolution
upset person,causes,hatred for that which upset them
person,capable of,destroy world
equality for everyone,used for,good of community
deal drug,has subevent,get arrest
kill john safran,has last subevent,bury body
sexually transmit disease,is a,infection
have penis,has last subevent,stick it in dark hole
animal,part of,ecology
penis,at location,pair of pant
community,capable of,commit genocide
cannabis,at location,amsterdam
socialist,used for,community
go to utopia,motivated by goal,live in good place
have prohibitionist society,has prequisite,criminalize drug
upset peolpe,used for,revolution
run with scissor,has subevent,someone could get hurt
have democracy,has prequisite,declare equality for everyone
penis,capable of,shoot sperm
have penis,has prequisite,make doctor appointment
want equality for everyone,has first subevent,choose specific ideology
zombie,receives action,use to destroy world
faux pa,defined as,violation of accept although unwritten social rule
utopia,created by,community
ideology,created by,person
animate flesh of dead person,defined as,goal of some mad scientist
commit genocide,causes,death
john safran,desires,upset person
life,defined as,opposite of death
equality for everyone,capable of,change society
animate flesh of dead person,motivated by goal,friend
person,receives action,break
be happy,has prequisite,just let yourself
tv,capable of,change your subjective consciousness
indica,is a,marijuanna
animate flesh of dead person,is a,zombie
political ideology,has property,bad
mad scientist,used for,destroy world
butterfly,created by,cocoon
hatred,causes desire,celebrate when specific group be dead
equality for everyone,has prequisite,government
whorehouse,is a,build
equality for everyone,at location,america
subjective change in consciousness,used for,personal growth
swallow semen,causes,vomit
faux pa,causes,upset person
utopia,is a,place
penis,is a,sex organ
deal drug,motivated by goal,good life
bomb,used for,commit genocide
swallow semen,motivated by goal,be gay man in love
socialist,defined as,follower of socialism
anime,at location,comic book store
socialist,capable of,empower community
fuck,motivated by goal,pleasure
john safran,capable of,be annoy
revolution,made of,sentient be
kill specific group,motivated by goal,celebrate when specific group be dead
equality for everyone,used for,political ideology
equality for everyone,capable of,change government
commit crime,has first subevent,form plan
achieve enlightenment,has prequisite,meditate
love,capable of,make you good person
whore,receives action,fuck
steal,motivated by goal,food
democracy,causes,equality for everyone
